taxon,resolution,frequence,x,y_mean,y_sd,n_runs
Total,600,15,1,11,9.560334722173696,11
Total,600,15,2,20.09090909090909,15.648990673232223,11
Total,600,15,3,29.818181818181817,22.062720511388353,11
Total,600,15,4,40,26.892378102354577,11
Total,600,15,5,48.72727272727273,32.9153183459948,11
Total,600,15,6,58.27272727272727,39.27617829955177,11
Total,600,15,7,66.81818181818181,44.165185795642664,11
Total,600,15,8,73.81818181818181,47.6651197036537,11
Total,600,15,9,82.27272727272727,53.18663536846622,11
Total,600,15,10,91.72727272727273,59.70609836371978,11
Total,600,15,11,101.0909090909091,66.20340557018883,11
Total,600,60,1,16.666666666666668,19.04483873265776,18
Total,600,60,2,31.555555555555557,33.494902548477825,18
Total,600,60,3,50.35294117647059,51.71308003840831,17
Total,600,60,4,71,71.1661112090255,14
Total,600,60,5,86.5,82.48706192255477,14
Total,600,60,6,122.9,107.70582363291432,10
Total,600,60,7,153.88888888888889,123.14873572680766,9
Total,600,60,8,168.57142857142858,139.60403186973403,7
Total,600,60,9,217.83333333333334,154.61619147639962,6
Total,600,60,10,241.33333333333334,167.74583949137656,6
Total,600,60,11,271.8333333333333,186.1423290567373,6
Total,600,360,1,29.375,37.369846598328564,24
Total,600,360,2,57.30434782608695,65.34762622287383,23
Total,600,360,3,84.11764705882354,104.4628416908024,17
Total,600,360,4,133.28571428571428,168.7924902414345,7
Total,600,360,5,162.42857142857142,203.6196267086068,7
Total,600,360,6,190.71428571428572,234.0994904491922,7
Total,600,360,7,214.57142857142858,256.1788809555133,7
Total,600,360,8,170.16666666666666,226.5536728165462,6
Total,600,360,9,195.66666666666666,267.65774165278066,6
Total,600,360,10,242.8,329.69637547294934,5
Total,600,360,11,267.8,354.02288061649347,5
Total,1200,15,1,17.357142857142858,15.628411715438418,14
Total,1200,15,2,35.714285714285715,32.185588202052294,14
Total,1200,15,3,52.285714285714285,47.151847294636326,14
Total,1200,15,4,75.23076923076923,63.8581159631176,13
Total,1200,15,5,91.16666666666667,84.04958853756116,12
Total,1200,15,6,109.08333333333333,100.7575472772801,12
Total,1200,15,7,121.45454545454545,120.6187080318502,11
Total,1200,15,8,151.7,139.60742578148677,10
Total,1200,15,9,169.4,155.70142367150447,10
Total,1200,15,10,185.8,168.5208856162609,10
Total,1200,15,11,202.2,179.4589399030071,10
Total,1200,60,1,24,12.47397290361014,11
Total,1200,60,2,46.54545454545455,23.29962933766817,11
Total,1200,60,3,71.6,39.97276850835106,10
Total,1200,60,4,96.4,58.02336694049313,10
Total,1200,60,5,121.1,76.67021730908438,10
Total,1200,60,6,145.3,93.8415330934727,10
Total,1200,60,7,168.4,108.30225195155352,10
Total,1200,60,8,196.7,122.49721085260133,10
Total,1200,60,9,214.11111111111111,142.72564980097695,9
Total,1200,60,10,241.44444444444446,158.5537062883671,9
Total,1200,60,11,266.42857142857144,186.14676749172693,7
Total,1200,360,1,62.54545454545455,72.34818408405107,22
Total,1200,360,2,117.36842105263158,126.32858853284854,19
Total,1200,360,3,202.93333333333334,231.17200357762883,15
Total,1200,360,4,218.22222222222223,264.7294740757901,9
Total,1200,360,5,196.75,266.61515871597186,8
Total,1200,360,6,224.375,289.1529192560326,8
Total,1200,360,7,296.375,416.7119380167963,8
Total,1200,360,8,389.125,603.9244128436699,8
Total,1200,360,9,417.42857142857144,718.3107166917989,7
Total,1200,360,10,475.5,830.1165580808516,6
Total,1200,360,11,521,913.6338435062485,6
Total,2400,60,1,35.92307692307692,29.63236276568109,13
Total,2400,60,2,69.38461538461539,60.34144300221651,13
Total,2400,60,3,106.23076923076923,93.03418175250951,13
Total,2400,60,4,143,124.93665061408788,13
Total,2400,60,5,176.76923076923077,146.407623803176,13
Total,2400,60,6,179.9090909090909,169.00086067559215,11
Total,2400,60,7,207.45454545454547,192.95406895754422,11
Total,2400,60,8,237.54545454545453,215.54134806870056,11
Total,2400,60,9,268.90909090909093,240.33620390838104,11
Total,2400,60,10,261.9,249.25954790583694,10
Total,2400,60,11,330.3333333333333,341.68796681572894,6
Total,2400,360,1,177.91666666666666,240.94905471841338,12
Total,2400,360,2,284.1666666666667,328.00521984020963,12
Total,2400,360,3,476.90909090909093,627.4750121790436,11
Total,2400,360,4,584.1818181818181,720.9296523492176,11
Total,2400,360,5,668,855.6040101718916,10
Total,2400,360,6,752.8,912.6728512086537,10
Total,2400,360,7,823.8,977.5046234616432,10
Total,2400,360,8,875.5,1011.5282442368522,10
Total,2400,360,9,760.6666666666666,940.4663736678733,9
Total,2400,360,10,877.8888888888889,1035.315706010061,9
Total,2400,360,11,1016.625,1126.596510037454,8
Acari,600,15,1,1,0,10
Acari,600,60,1,1,0,8
Acari,600,60,2,2,NA,1
Acari,600,60,3,3,NA,1
Acari,600,360,1,1.125,0.3535533905932738,8
Acari,600,360,2,2,NA,1
Acari,1200,15,1,1.3703703703703705,0.6877023141843227,27
Acari,1200,15,2,3.066666666666667,2.016597794967223,15
Acari,1200,15,3,7,4.358898943540674,3
Acari,1200,15,4,5.5,0.7071067811865476,2
Acari,1200,15,5,7.5,2.1213203435596424,2
Acari,1200,15,6,10,NA,1
Acari,1200,15,7,11,NA,1
Acari,1200,15,8,12,NA,1
Acari,1200,15,9,13,NA,1
Acari,1200,15,10,14,NA,1
Acari,1200,15,11,16,NA,1
Acari,1200,60,1,2.3333333333333335,1.3451854182690985,15
Acari,1200,60,2,4.181818181818182,1.5374122295716148,11
Acari,1200,60,3,6,2.0701966780270626,8
Acari,1200,60,4,8.833333333333334,1.3291601358251257,6
Acari,1200,60,5,10.5,1.51657508881031,6
Acari,1200,60,6,12.666666666666666,2.0816659994661326,3
Acari,1200,60,7,13,0,2
Acari,1200,60,8,16.5,0.7071067811865476,2
Acari,1200,60,9,19,NA,1
Acari,1200,60,10,20,NA,1
Acari,1200,60,11,23,NA,1
Acari,1200,360,1,1.5769230769230769,0.7027418828034614,26
Acari,1200,360,2,3.857142857142857,1.9944979263017493,14
Acari,1200,360,3,6.142857142857143,1.4638501094227998,7
Acari,1200,360,4,7.75,2.5,4
Acari,1200,360,5,10.333333333333334,1.5275252316519468,3
Acari,1200,360,6,14,1,3
Acari,1200,360,7,16,0,2
Acari,1200,360,8,19,NA,1
Acari,2400,60,1,3.0555555555555554,1.5135553089341052,18
Acari,2400,60,2,6,2.898275349237888,16
Acari,2400,60,3,9,3.6285901761795403,13
Acari,2400,60,4,12.1,4.408325456829762,10
Acari,2400,60,5,14.875,5.566160513059505,8
Acari,2400,60,6,19.4,8.988882021697693,5
Acari,2400,60,7,18.75,7.5,4
Acari,2400,60,8,25.666666666666668,5.131601439446884,3
Acari,2400,60,9,29,6,3
Acari,2400,60,10,32,6.244997998398398,3
Acari,2400,360,1,3.75,2.8324419275118906,12
Acari,2400,360,2,7.636363636363637,3.4430430515091524,11
Acari,2400,360,3,11.7,4.9899899799498595,10
Acari,2400,360,4,14.4,5.399588461684423,10
Acari,2400,360,5,17.5,7.111359122659224,8
Acari,2400,360,6,21.428571428571427,8.18244345855081,7
Acari,2400,360,7,22.666666666666668,8.93681524183345,6
Acari,2400,360,8,26.833333333333332,11.856081421222893,6
Acari,2400,360,9,31.166666666666668,13.991664185030553,6
Acari,2400,360,10,36,14.724129855444769,6
Acari,2400,360,11,39.5,16.220357579289058,6
Collembola,600,15,1,1,0,4
Collembola,600,60,1,1,0,4
Collembola,600,360,1,1,0,4
Collembola,1200,15,1,1,0,11
Collembola,1200,15,2,2.4285714285714284,0.5345224838248488,7
Collembola,1200,15,3,4,0.816496580927726,4
Collembola,1200,15,4,5.666666666666667,1.5275252316519468,3
Collembola,1200,15,5,7.5,0.7071067811865476,2
Collembola,1200,15,6,10,NA,1
Collembola,1200,60,1,1.411764705882353,0.8702602720890289,17
Collembola,1200,60,2,2.5714285714285716,1.1338934190276817,7
Collembola,1200,60,3,4,1,3
Collembola,1200,60,4,6.333333333333333,0.5773502691896257,3
Collembola,1200,60,5,11,NA,1
Collembola,1200,360,1,1.5,0.6382847385042254,28
Collembola,1200,360,2,2.8333333333333335,0.8348471099367218,12
Collembola,1200,360,3,4,0,2
Collembola,2400,60,1,1.6875,1.0144785195688801,16
Collembola,2400,60,2,3.727272727272727,1.009049958219026,11
Collembola,2400,60,3,5.857142857142857,1.2149857925879117,7
Collembola,2400,60,4,8.428571428571429,2.9358214555806383,7
Collembola,2400,60,5,11,3.415650255319866,7
Collembola,2400,60,6,13.833333333333334,4.875106836436168,6
Collembola,2400,60,7,16.333333333333332,5.240865068542279,6
Collembola,2400,60,8,19,6.131883886702357,6
Collembola,2400,60,9,21.666666666666668,6.3456021516217564,6
Collembola,2400,60,10,25.25,5.315072906367325,4
Collembola,2400,360,1,2.4375,1.4127396551853895,16
Collembola,2400,360,2,4.416666666666667,2.0207259421636903,12
Collembola,2400,360,3,6.666666666666667,2.598076211353316,9
Collembola,2400,360,4,10.857142857142858,3.5790395093549625,7
Collembola,2400,360,5,15.666666666666666,6.0882400303098,6
Collembola,2400,360,6,21,7.968688725254614,5
Collembola,2400,360,7,24.4,7.536577472566709,5
Collembola,2400,360,8,28,6.6332495807108,5
Collembola,2400,360,9,31,6.59545297913646,5
Collembola,2400,360,10,33.8,7.049822692805827,5
Collembola,2400,360,11,34.25,7.274384280931732,4
Enchytraeidae,600,15,1,5.6,5.316640543300503,10
Enchytraeidae,600,15,2,11.2,11.886500279261718,10
Enchytraeidae,600,15,3,18,18.179658962697843,9
Enchytraeidae,600,15,4,26.625,22.73409962400723,8
Enchytraeidae,600,15,5,36,29.670411748631555,7
Enchytraeidae,600,15,6,42.857142857142854,34.628642149857065,7
Enchytraeidae,600,15,7,50.142857142857146,39.278614076995176,7
Enchytraeidae,600,15,8,55.285714285714285,41.46369611163596,7
Enchytraeidae,600,15,9,62.42857142857143,47.923053404588565,7
Enchytraeidae,600,15,10,69.28571428571429,54.13167367852296,7
Enchytraeidae,600,15,11,76.42857142857143,61.90545787154566,7
Enchytraeidae,600,60,1,7.071428571428571,4.648643900094963,14
Enchytraeidae,600,60,2,15.857142857142858,16.542984303635475,14
Enchytraeidae,600,60,3,25.307692307692307,27.13664378469519,13
Enchytraeidae,600,60,4,37.09090909090909,41.314536292822034,11
Enchytraeidae,600,60,5,48.18181818181818,53.614957207514735,11
Enchytraeidae,600,60,6,68.85714285714286,83.27150087000268,7
Enchytraeidae,600,60,7,88,102.33279044372826,6
Enchytraeidae,600,60,8,112.8,129.73704174213316,5
Enchytraeidae,600,60,9,155.75,159.31180119501505,4
Enchytraeidae,600,60,10,175.5,173.78626719814966,4
Enchytraeidae,600,60,11,243.66666666666666,197.5660227198324,3
Enchytraeidae,600,360,1,9.166666666666666,8.212257696309111,18
Enchytraeidae,600,360,2,18.11764705882353,14.176928232788903,17
Enchytraeidae,600,360,3,24.384615384615383,17.858417536922943,13
Enchytraeidae,600,360,4,31.2,23.952035404115453,5
Enchytraeidae,600,360,5,38.2,26.071056748816304,5
Enchytraeidae,600,360,6,47.4,30.435177016077958,5
Enchytraeidae,600,360,7,57.8,44.46571713129116,5
Enchytraeidae,600,360,8,70.6,59.5927847981616,5
Enchytraeidae,600,360,9,77.4,61.04342716460143,5
Enchytraeidae,600,360,10,86,69.51258878793107,4
Enchytraeidae,600,360,11,99.75,84.05305863956806,4
Enchytraeidae,1200,15,1,7.75,7.875450925040881,12
Enchytraeidae,1200,15,2,15.833333333333334,14.812975475043576,12
Enchytraeidae,1200,15,3,25.363636363636363,23.204623363772694,11
Enchytraeidae,1200,15,4,40.111111111111114,32.59388149808352,9
Enchytraeidae,1200,15,5,53.375,42.954918228300706,8
Enchytraeidae,1200,15,6,62.375,49.83096426921719,8
Enchytraeidae,1200,15,7,79.42857142857143,54.68350495611738,7
Enchytraeidae,1200,15,8,91,61.15826463637873,7
Enchytraeidae,1200,15,9,101.57142857142857,66.95236401815136,7
Enchytraeidae,1200,15,10,112.28571428571429,70.0921162607091,7
Enchytraeidae,1200,15,11,122.71428571428571,73.47950799534586,7
Enchytraeidae,1200,60,1,14.25,9.315885051121782,8
Enchytraeidae,1200,60,2,29.875,17.166724456675727,8
Enchytraeidae,1200,60,3,42.42857142857143,28.08829615609286,7
Enchytraeidae,1200,60,4,53.285714285714285,35.87810049651591,7
Enchytraeidae,1200,60,5,64.71428571428571,43.66430382556704,7
Enchytraeidae,1200,60,6,74.42857142857143,47.62652322273498,7
Enchytraeidae,1200,60,7,84.42857142857143,51.99954212252624,7
Enchytraeidae,1200,60,8,97.57142857142857,54.518673078915945,7
Enchytraeidae,1200,60,9,90,37.37913856685304,6
Enchytraeidae,1200,60,10,103.66666666666667,48.20650025325077,6
Enchytraeidae,1200,60,11,117.8,61.185782662314615,5
Enchytraeidae,1200,360,1,20.1875,18.100529458186205,16
Enchytraeidae,1200,360,2,40.785714285714285,31.103248832108967,14
Enchytraeidae,1200,360,3,56.54545454545455,39.73503148699806,11
Enchytraeidae,1200,360,4,69.28571428571429,71.40894968586288,7
Enchytraeidae,1200,360,5,83.28571428571429,84.75595217193556,7
Enchytraeidae,1200,360,6,99.57142857142857,93.06065610281132,7
Enchytraeidae,1200,360,7,122,116.50321883965266,7
Enchytraeidae,1200,360,8,144.85714285714286,129.12452461536057,7
Enchytraeidae,1200,360,9,110.33333333333333,68.26614583134649,6
Enchytraeidae,1200,360,10,96.8,53.918456951214765,5
Enchytraeidae,1200,360,11,105.2,56.67186250689137,5
Enchytraeidae,2400,60,1,10.777777777777779,4.867693955503411,9
Enchytraeidae,2400,60,2,20.444444444444443,10.944303439588001,9
Enchytraeidae,2400,60,3,32.111111111111114,17.338140359078626,9
Enchytraeidae,2400,60,4,44.55555555555556,24.062996026633463,9
Enchytraeidae,2400,60,5,57.666666666666664,29.146183283579344,9
Enchytraeidae,2400,60,6,70.77777777777777,35.96101283952448,9
Enchytraeidae,2400,60,7,80,42.246301613277346,9
Enchytraeidae,2400,60,8,92.33333333333333,51.771130951525485,9
Enchytraeidae,2400,60,9,106.44444444444444,61.15985429820593,9
Enchytraeidae,2400,60,10,116.88888888888889,67.28938334619446,9
Enchytraeidae,2400,60,11,111,42.2551771975932,5
Enchytraeidae,2400,360,1,17.88888888888889,13.308309851784752,9
Enchytraeidae,2400,360,2,33.333333333333336,19.403607911932255,9
Enchytraeidae,2400,360,3,46.888888888888886,22.087578208375653,9
Enchytraeidae,2400,360,4,61.77777777777778,31.131887903634183,9
Enchytraeidae,2400,360,5,66.5,22.206820059226335,8
Enchytraeidae,2400,360,6,76.5,28.147570308744488,8
Enchytraeidae,2400,360,7,87.75,32.11474961535809,8
Enchytraeidae,2400,360,8,99.25,37.27791379815744,8
Enchytraeidae,2400,360,9,121.75,50.25861688734153,8
Enchytraeidae,2400,360,10,135.125,55.40613039830778,8
Enchytraeidae,2400,360,11,140.28571428571428,61.66499354229617,7
